Player_Id,Deposit_Amount,Deposit_Quantity,Deposit_Method,Age,Country,Gender,Dim_Alert_Type_Desc,VIP
613972,30.173167911115822,5,v3_ebs,31.0,RO,?,All Deposit,0
1001159,4871.409870497823,1,instadebitviasc,30.0,VG,F,All Deposit,0
2405146,37.812566037810804,3,ifund-smooth-usd,21.0,LB,M,Special,0
3694261,52.722559813861245,15,diners,33.0,NZ,M,Sign Up,0
7004960,42.7765575111156,3,lateralpayments,55.0,IR,M,All Deposit,0
7105975,53.46260815056287,1,v_d_usd_cqr_es,42.0,CO,?,Sign Up,1
9409705,38.250328293808444,3,pcard,23.0,CU,?,Sign Up,0
4492235,6515.662089463375,11,paybox,48.0,GB,M,Re-deposit,1
999799,0.0,0,viva,24.0,NL,M,?,1
9536427,65.95479281308945,14,ipay,34.0,MO,M,Special,0
8352343,33.556275554004145,2,v_trustmarque,48.0,PH,F,Re-deposit,0
6028323,57.97194515246977,1,metacharge_creditcard,43.0,LB,F,Sign Up,0
2178273,66.0996714692474,40,debitcard,43.0,PS,F,All Deposit,0
2762732,45.32585321774548,32,netdirect3,30.0,CD,F,Re-deposit,0
6430857,36.904963664415554,18,firepay,42.0,SR,F,Re-deposit,0
4088867,21.147245912354386,5,ricarica,28.0,NO,M,Special,0
4720113,0.0,0,sc-sandhirst,34.0,CM,F,All Deposit,0
5677756,0.0,0,dineromail,32.0,,F,First_Deposit,0
7667708,32.88559622723468,1,paybox,26.0,HR,M,?,0
6531684,66.59847062438797,4,giropay_xpay,30.0,MV,M,?,0
2147395,71.60502689132115,2,metacharge_debitcard,38.0,PY,F,All Deposit,0
7130748,33.44939136906148,2,directdebit,24.0,ML,M,?,0
2033144,39.22625138534911,3,viva,37.0,MC,M,Special,0
586487,37.83820905801336,6,dk_mb,34.0,UY,F,First_Deposit,0
5623776,0.0,0,cardportalpago_creditcard,22.0,VE,?,First_Deposit,0
9879225,46.65142953223761,1,ipsprocessing,48.0,EU,M,First_Deposit,1
58100,0.0,0,gvcser3dtrx,38.0,CO,M,All Deposit,0
750601,67.84897703431429,2,ifund-smooth-eur,31.0,CH,F,?,0
2183035,32.70754965872554,3,visa_postepay,30.0,GY,M,Re-deposit,0
1335488,32.49677308245682,2,firstgate_firstgate,33.0,IS,F,Re-deposit,0
2465989,76.37876586717277,9,v_trustmarque,33.0,MK,F,Special,0
8185475,6830.41054216622,13,bt_cashservices,24.0,TV,F,Special,1
3602496,66.58916533414369,2,ekonto,41.0,MV,M,First_Deposit,0
466377,54.20858889043281,2,clicknbuy,24.0,IE,M,All Deposit,0
2071861,29.63478033824564,2,canadianeft,57.0,CL,F,?,0
4215292,64.91008132571194,16,ukash,32.0,MG,F,?,0
3511816,29.578153375133528,4,entropay,26.0,MV,F,Re-deposit,0
3614025,61.59051528922958,7,wire,24.0,KY,M,?,0
8498251,29.532994981367032,35,dk_mb,43.0,MV,M,All Deposit,0
9572746,6397.175070215645,14,giropayviasc,32.0,MK,?,?,1
764564,89.55553470326146,1,paysafecardviasc,27.0,PL,M,All Deposit,0
8866100,0.0,0,v_d_usd_cqr_es,35.0,EC,?,?,0
7322349,38.59976252073373,1,clicknbuy,23.0,AE,M,First_Deposit,1
666156,43.733179248118,1,diners,37.0,CZ,?,?,1
5391688,33.83851645397205,1,muchbetter,23.0,KW,F,Sign Up,0
9646708,36.948418870638676,2,pcard,54.0,OM,M,Special,0
6420061,59.33284180102067,2,viva,39.0,BO,M,First_Deposit,0
3813573,54.042603417106385,10,webmoney,34.0,CS,M,?,0
1226808,74.09071605747795,19,ebs,23.0,MA,M,?,0
6399837,80.13812063118068,4,sc-gvccashier,33.0,MG,M,All Deposit,0
8483129,21.922748308334498,2,v_d_usd_cqr_es,45.0,GG,F,Re-deposit,0
730405,0.0,0,paysafecard_paysafecard,37.0,DE,M,?,0
6768576,75.72058730331227,1,pcard,27.0,NO,F,All Deposit,0
8317549,0.0,0,macaucashdesk,36.0,ZW,M,?,0
7679438,46.33682244639999,3,bt_cashservices,48.0,HM,F,Re-deposit,0
7545804,88.6121591094259,2,webmoneyviasc,24.0,TJ,M,Sign Up,0
2944401,45.21385647563417,2,paypal_paypal,29.0,TW,F,First_Deposit,0
9492487,40.76431759305348,2,westernunion,32.0,AZ,F,All Deposit,0
6415596,49.709395886321786,2,ifund-smooth-usd,32.0,MZ,F,?,0
7871571,49.49579423214974,1,przelewy24,27.0,BM,M,?,0
3384148,84.02610073167207,2,instantbanking,34.0,AZ,M,First_Deposit,0
5017918,67.37525949098617,1,gvcserregulartrx,49.0,GE,?,All Deposit,0
5130617,46.285022761934215,3,gvcser3dtrx,25.0,KW,F,Re-deposit,0
5437812,28.2576985768089,2,natwest_bankwire,30.0,MW,F,All Deposit,0
6645980,113.68450071702915,1,webpay,39.0,UY,F,First_Deposit,1
4143056,34.404887888598175,1,pcard,19.0,ZM,M,First_Deposit,0
7300177,60.23459011829147,2,v_trustmarque,24.0,BA,F,All Deposit,0
2497704,71.95805557971497,3,ewi,21.0,SI,F,Sign Up,0
9002369,51.531923938783095,3,cyberplat,25.0,IO,F,Sign Up,0
1910923,47.774210327160816,1,payr,31.0,AI,M,Re-deposit,0
2177204,45.402509038469375,2,pcard,34.0,TT,M,Sign Up,0
5237723,67.12197711820062,18,s_trustmarque,43.0,,M,First_Deposit,0
9669281,0.0,1,ebs,30.0,SD,F,Re-deposit,0
3371589,76.48191342859516,9,v5_ebs,24.0,VG,F,First_Deposit,0
1625208,60.55090400510388,2,multibanco,47.0,KY,F,Re-deposit,0
4701636,0.0,0,ecopayz,38.0,BJ,M,All Deposit,0
3808847,57.24755808755687,16,v_d_usd_cqr_es,33.0,AG,F,Re-deposit,1
4636286,36.250019190213436,2,multibanco,34.0,IL,F,Special,0
7158906,52.84285619001415,44,clearchex,39.0,SI,F,First_Deposit,0
1262050,51.585772681743556,1,lateralpayments,41.0,NP,M,Special,0
2581058,64.40258516614047,1,webpay,40.0,SN,?,?,0
4107507,33.09978143646556,2,neteller,34.0,MT,F,All Deposit,0
7223283,28.98568133717628,3,ifund-interpay,24.0,AF,M,?,0
3663464,53.63903292809936,1,ewi,49.0,GG,M,Sign Up,0
3264166,58.25958990845231,7,ewi,20.0,PH,F,Special,0
8863757,41.83657607755387,4,v_trustmarque,36.0,CR,M,Re-deposit,0
1035347,24.860416131648947,2,entropay,20.0,BB,M,First_Deposit,0
7610048,41.70708572677614,3,sc-sandhirst,32.0,NO,?,All Deposit,0
2714199,0.0,0,ifund-smooth-eur,34.0,DK,F,All Deposit,0
4635455,37.57745611196005,2,sc-sandhirst,35.0,KW,F,Sign Up,0
9447835,0.0,0,wire,32.0,DJ,?,Sign Up,0
2636333,0.0,0,v5_ebs,21.0,UA,F,First_Deposit,0
8389794,70.97322375595361,21,paypal_paypal,24.0,CO,F,First_Deposit,0
4736571,0.0,3,creditcard,23.0,LK,?,Sign Up,0
9395495,26.53277620743718,12,entropay,21.0,AO,F,Special,0
3152194,41.66596769205736,14,clickandbuy,30.0,CA,F,Special,0
4401854,50.66901830565378,2,hipay,35.0,SE,M,?,0
1726330,0.0,3,gvcserregulartrx,32.0,PA,?,Special,0
5218023,0.0,0,webmoney_webmoney,19.0,CA,?,Special,0
2733848,55.670783185995646,40,qiwi,28.0,DK,M,First_Deposit,0
8624588,53.16130788894214,2,surefirecommerce,18.0,FK,M,Re-deposit,0
424823,0.0,0,chequedeposit_cheque,53.0,AM,F,?,0
6061148,0.0,0,eurowire,54.0,GP,F,Special,0
4953917,0.0,0,poli,36.0,TN,M,,0
9083218,42.71155697904513,15,webmoney,24.0,CS,M,Re-deposit,0
122762,0.0,0,bankbphs.a._bankwire,39.0,LK,F,All Deposit,0
2061760,85.24444103449486,3,sc-sandhirst,44.0,SN,F,Re-deposit,0
1417134,53.20195980293362,1,ricarica,27.0,KG,F,Sign Up,0
6341244,53.19224781344039,19,deutschebankag_bankwire,39.0,AT,M,Sign Up,0
9930728,41.69778230342207,2,entropay,43.0,PE,M,First_Deposit,0
7777518,56.14118890594777,2,check,43.0,CU,M,Re-deposit,0
9296397,56.343786181721136,3,tmwire,37.0,SR,F,All Deposit,0
9822613,34.13562729835163,3,astropaycard,48.0,MV,F,All Deposit,0
3032399,38.21693198561355,13,giropayviasc,35.0,GF,M,All Deposit,0
2440105,51.03062167079674,1,ecopayz,,FO,M,Sign Up,0
2106484,0.0,0,sc-netlook,45.0,TG,F,?,0
5778523,4519.042807484234,8,instantbanking,23.0,ZA,F,?,0
9129639,41.206102569644216,1,s_trustmarque,34.0,NL,M,Re-deposit,0
2148756,0.0,0,check,32.0,ET,F,All Deposit,0
9972672,31.581051485300378,1,dtdcashdesk,35.0,CO,F,First_Deposit,0
6886328,58.198666442080906,15,eps,24.0,PH,M,Sign Up,0
5985960,37.77764142826562,2,westernunion,31.0,CY,M,First_Deposit,0
2594851,23.305877667408595,1,chequedeposit_cheque,33.0,AQ,F,Special,0
2226636,35.734103524693836,2,giropay_s2p,38.0,LI,M,Sign Up,0
1782240,47.9724416561536,4,kalixa,42.0,OM,M,First_Deposit,0
5484492,0.0,0,clearchex,20.0,MZ,M,,0
6647562,65.63097793966773,11,ekonto,53.0,AR,M,First_Deposit,0
1690256,0.0,3,v5_ebs,30.0,CD,M,Sign Up,0
9294692,78.82368421933668,4,ricarica,26.0,HU,M,Re-deposit,0
5663278,41.94401322258595,3,paypal_paypal,35.0,KW,,?,0
6363664,53.74649850815766,3,,36.0,VC,F,All Deposit,0
5180146,7275.949621947544,2,globalcollect_creditcard,31.0,EE,M,?,1
5488114,34.128504056154604,1,moneybookers,18.0,AO,F,All Deposit,0
7536270,0.0,1,maestro_mb,37.0,MO,F,Sign Up,0
8755835,91.20630248126739,1,laser,53.0,AQ,M,Sign Up,0
3770662,47.93731518616235,1,mplatba,29.0,LI,?,All Deposit,0
2942022,33.14980235848011,1,ifund-smooth-gbp,18.0,GN,F,All Deposit,0
575305,5811.757391862335,2,visadebit,26.0,MK,?,First_Deposit,0
3894391,76.65341658633824,21,banktransfer,50.0,AR,M,Re-deposit,0
9056159,0.0,1,sc-gvccashier,29.0,AQ,M,All Deposit,0
8094386,43.016063287604986,11,ideal,30.0,AW,F,?,0
894572,69.2965613910464,2,wire,18.0,JE,F,Re-deposit,0
2055650,27.714823269419217,5,moneybookers.com_moneybookers,40.0,DZ,M,Re-deposit,0
9743415,0.0,0,tmwire,20.0,TW,M,Sign Up,0
6161411,52.64448190393489,18,check,31.0,AE,F,Re-deposit,0
4190255,61.92083594844427,3,qiwi,38.0,BF,M,Sign Up,1
5758032,40.163174658098754,12,nordea_mb,41.0,AN,M,?,0
5769255,41.65649477611741,3,banktransfer,26.0,GY,F,Special,0
3177923,33.08785906801952,1,v13_ebs,22.0,AS,F,Sign Up,0
8062267,50.61517748444818,2,maestro,34.0,FK,M,Sign Up,0
9341390,84.8972292610202,1,instadebitviasc,21.0,MW,?,Special,0
9731585,0.0,3,ideal,37.0,AX,?,?,0
7863004,31.841387507097096,1,bt_cashservices,46.0,CO,M,Sign Up,0
7548523,29.437739046057736,2,bt_cashservices,37.0,AW,?,Special,0
2201533,0.0,0,debitcard,36.0,VA,M,All Deposit,0
2653887,34.62969599764778,1,webmoneyviasc,28.0,IL,?,Sign Up,0
5747333,58.861520737925694,5,metacharge_creditcard,36.0,TV,M,Special,0
6438605,37.98684870767294,1,ifund-smooth-usd,53.0,PS,M,Special,0
8208659,35.63416074239428,12,canadianeft,30.0,PY,?,First_Deposit,0
6005426,19.848217257242794,1,idebit,35.0,VU,M,,0
3521139,0.0,2,ppprepaidcard,38.0,MW,M,Special,0
2482355,53.17526772607103,41,ifund-smooth-gbp,32.0,GT,M,First_Deposit,1
8337412,58.274791055958204,7,postepay_mb,27.0,LT,F,All Deposit,0
2779613,41.502374061681586,2,mistercash,26.0,TZ,F,Special,0
4123012,0.0,0,muchbetter,40.0,VU,M,All Deposit,0
2945719,44.16270210641319,5,pcard,32.0,KM,?,Special,0
9996598,27.470060254218627,2,giropayviasc,36.0,JE,M,Special,0
1019461,0.0,0,instantbank,21.0,DJ,M,?,0
3792097,0.0,0,ifund-eppayments,28.0,KN,M,Re-deposit,0
9029793,29.807529945805445,9,brlpay,27.0,CS,?,Re-deposit,0
3337672,63.53539462275517,11,dtdcashdesk,18.0,AT,M,First_Deposit,0
5471063,41.99383869648487,2,bt_astropay,21.0,SI,M,?,0
2258861,76.81150398490387,3,nordea_mb,41.0,CY,F,First_Deposit,0
8836546,9063.225568040047,1,kalixa,52.0,MR,F,Sign Up,1
5602037,69.23140330255472,38,ewi,41.0,EE,M,?,0
4312776,38.01393161797675,4,ifund-eppayments,29.0,MU,M,Sign Up,0
9196318,85.35404018689724,2,ifund-eppayments,34.0,SR,?,All Deposit,0
9527708,71.33000306341441,4,monedero,49.0,EE,F,Re-deposit,1
2506923,0.0,0,payfriends(tm),22.0,CS,F,First_Deposit,0
9773854,51.33530838376997,2,servipag,20.0,VN,M,Special,0
8579580,57.29049977564039,1,webmoney_webmoney,27.0,SX,M,All Deposit,0
6746627,56.46742428110282,2,lateralpayments,30.0,IE,?,Special,0
6954611,90.95605867202212,2,neteller,31.0,GI,?,Re-deposit,1
3601354,41.06794326418154,2,ecopayz,19.0,MN,?,?,0
9171440,58.9659750180584,2,ideal,23.0,QA,F,?,0
9252908,42.86729953251839,1,cc,45.0,VC,F,Sign Up,0
8134710,67.93877119981683,7,ids,18.0,IT,F,First_Deposit,0
2980717,38.216624358498315,2,instantbank,51.0,HM,F,Re-deposit,0
8572879,36.82433648478004,5,diners,24.0,VC,M,Re-deposit,0
5867272,52.71713658058747,2,ricarica,42.0,DK,F,All Deposit,0
4189790,63.45904331353744,1,przelewy24,18.0,KG,M,Sign Up,0
611227,76.99567733814217,5,clickandbuy,29.0,CA,F,First_Deposit,0
